episode,return,success,collisions,steps
237,-15.318929096460318,0,0,200
241,-15.81048482000825,0,0,200
238,-15.55042121946809,0,0,200
242,-15.296570905446982,0,0,200
239,-15.552338680028889,0,0,200
243,-15.433546044826484,0,0,200
240,-15.167483646571608,0,0,200
244,-15.848886551856967,0,0,200
241,-15.81048482000825,0,0,200
242,-15.296570905446982,0,0,200
243,-15.433546044826484,0,0,200
244,-15.848886551856967,0,0,200
245,-15.652159568071337,0,0,200
246,-15.32610367774961,0,0,200
247,-14.661246355026938,0,0,200
248,-15.193631176054453,0,0,200
245,-15.652159568071337,0,0,200
249,-15.45773458719251,0,0,200
250,-14.887837224602677,0,0,200
246,-15.32610367774961,0,0,200
251,-15.694117628931975,0,0,200
247,-14.661246355026938,0,0,200
252,-15.340706170499299,0,0,200
248,-15.193631176054453,0,0,200
253,-15.527356963753673,0,0,200
249,-15.45773458719251,0,0,200
254,-14.733517646193475,0,0,200
250,-14.887837224602677,0,0,200
251,-15.694117628931975,0,0,200
252,-15.340706170499299,0,0,200
253,-15.527356963753673,0,0,200
254,-14.733517646193475,0,0,200
255,-15.25465474218128,0,0,200
256,-15.615761367380598,0,0,200
257,-15.699405392408345,0,0,200
258,-14.923345001935933,0,0,200
259,-15.140391109287714,0,0,200
255,-15.25465474218128,0,0,200
260,-15.787967012226552,0,0,200
256,-15.615761367380598,0,0,200
261,-15.43809806644914,0,0,200
257,-15.699405392408345,0,0,200
